relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-049,royalty,crown prince,crown princess,太子,太子妃,príncipe heredero,princesa heredera,gendered_pair,pending,
NeurIPS-RA-050,royalty,grand duke,grand duchess,大公,大公夫人,gran duque,gran duquesa,gendered_pair,pending,
NeurIPS-RA-051,royalty,knight,dame,骑士,女爵士,caballero,dama,gendered_pair,pending,
NeurIPS-RA-052,royalty,esquire,lady,乡绅,女士,escudero,señora,gendered_pair,pending,
NeurIPS-RA-053,royalty,shogun,onna-musha,将军,女武士,shogun,onna-musha,gendered_pair,pending,Japanese military ruler
NeurIPS-RA-054,royalty,khan,khatun,可汗,可敦,kan,katún,gendered_pair,pending,Mongol/Turkic ruler
NeurIPS-RA-055,royalty,maharaja,maharani,大君,王妃,maharajá,maharaní,gendered_pair,pending,Indian royalty
NeurIPS-RA-056,royalty,raja,rani,拉贾,拉尼,rajá,raní,gendered_pair,pending,Indian prince/princess
NeurIPS-RA-057,royalty,chief,chieftess,酋长,女酋长,jefe,jefa,gendered_pair,pending,
NeurIPS-RA-058,royalty,laird,lady laird,领主,女领主,señor,señora,gendered_pair,pending,Scottish lord
NeurIPS-RA-059,royalty,thane,lady thane,贵族,女贵族,noble,noble,gendered_pair,pending,Anglo-Saxon noble
NeurIPS-RA-060,royalty,emir,emira,埃米尔,女埃米尔,emir,emira,gendered_pair,pending,Arab commander/prince
NeurIPS-RA-061,royalty,sheikh,sheikha,谢赫,女谢赫,jeque,jequesa,gendered_pair,pending,
NeurIPS-RA-062,royalty,mikado,empress,天皇,女天皇,mikado,emperatriz,gendered_pair,pending,Japanese emperor
NeurIPS-RA-063,royalty,daimyo,onna-daimyo,大名,女大名,daimio,daimio,gendered_pair,pending,Japanese feudal lord
NeurIPS-RA-064,royalty,samurai,onna-bugeisha,武士,女武士,samurái,onna-bugeisha,gendered_pair,pending,
NeurIPS-RA-065,royalty,palatine,palatine lady,宫廷伯爵,女宫廷伯爵,palatino,palatina,gendered_pair,pending,
NeurIPS-RA-066,royalty,margrave,margravine,边疆伯爵,边疆伯爵夫人,margrave,margravina,gendered_pair,pending,
NeurIPS-RA-067,royalty,landgrave,landgravine,地方伯爵,地方伯爵夫人,landgrave,landgravina,gendered_pair,pending,
NeurIPS-RA-068,royalty,burgrave,burgravine,城堡伯爵,城堡伯爵夫人,burgrave,burgravina,gendered_pair,pending,
NeurIPS-RA-069,royalty,elector,electress,选帝侯,选帝侯夫人,elector,electora,gendered_pair,pending,Holy Roman Empire
NeurIPS-RA-070,royalty,hospodar,lady hospodar,领主,女领主,hospodar,hospodar,gendered_pair,pending,Slavic ruler
