english,chinese,human
receive,收到|接收|收,
bring,带来|带,
carry,携带|拿|提,
throw,扔|投|抛,
catch,抓住|抓|接住,
push,推,
pull,拉,
lift,举|举起,
drop,掉落,
speak,说|说话,
talk,说|说话,
say,说,
tell,告诉,
ask,问,
answer,回答|答,
whisper,低声说,
shout,喊,
sing,唱歌,
write,写,
read,读,
listen,听,
hear,听到|听,
think,想|思考|认为,
know,知道|懂|了解,
understand,理解|懂|明白,
remember,记住|记得|记,
forget,忘记|忘,
learn,学习|学,
believe,相信|信,
doubt,怀疑|疑,
imagine,想象|设想,
dream,梦想|梦,
decide,决定,
choose,选择,
plan,计划,
solve,解决,
see,看见|看到|见,
look,看|瞧,
watch,观看|看|观察,
observe,观察|察看,
notice,注意|注意到|通知,
feel,感觉,
touch,触摸,
taste,尝,
smell,闻,
sense,感知,
like,喜欢,
dislike,不喜欢,
enjoy,享受,
worry,担心,
trust,信任,
admire,钦佩,
respect,尊重,
appreciate,欣赏,
meet,见面|满足|集会,
visit,拜访,
help,帮助,
support,支持,
cooperate,合作,
compete,竞争,
fight,打架|打|斗争|战斗|对抗,
argue,争论,
agree,同意,
disagree,不同意,
share,分享,
join,加入,
leave,离开,
make,做|制作|制造,
create,创造|创建|创作,
build,建造|建|盖,
construct,建设|建造|构建,
destroy,破坏|毁坏|摧毁,
break,打破|休息|决裂|刷新,
tear,撕,
cut,切,
fix,修理,
repair,修复,
wash,洗,
eat,吃|吃饭,
drink,喝|饮,
sleep,睡觉|睡,
wake,醒来|醒|起床,
breathe,呼吸|喘气,
laugh,笑|大笑,
cry,哭|哭泣,
smile,笑|微笑|笑容,
cough,咳嗽|咳,
sneeze,打喷嚏|喷嚏,
become,变成|成为|变,
turn,转|转动|转身,
grow,长大|生长|成长,
shrink,收缩|缩小,
open,打开|开|开启,
close,关闭|关|闭,
start,开始|启动,
begin,开始|起,
finish,完成|结束|做完,
end,结束|终止,
continue,继续|持续,
cause,引起,
force,强迫,
let,让,
allow,允许,
prevent,防止,
enable,启用,
disable,禁用,
influence,影响,
affect,影响,
control,控制,
