word,domain,type,note
🌿,pictographic_modern,emoji,grass - modern pictograph
艹,pictographic_ancient,radical,grass - ancient pictograph
🧿,pictographic_modern,emoji,eye protection - modern pictograph
目,pictographic_ancient,radical,eye protection - ancient pictograph
🗡️,pictographic_modern,emoji,dagger - modern pictograph
匕,pictographic_ancient,radical,dagger/spoon - ancient pictograph
🏹,pictographic_modern,emoji,bow and arrow - modern pictograph
弓,pictographic_ancient,radical,bow - ancient pictograph
🏹,pictographic_modern,emoji,arrow - modern pictograph
矢,pictographic_ancient,radical,arrow - ancient pictograph
🔪,pictographic_modern,emoji,kitchen knife - modern pictograph
刀,pictographic_ancient,radical,knife blade - ancient pictograph
⚡,pictographic_modern,emoji,lightning - modern pictograph
电,pictographic_ancient,radical,lightning/electricity - ancient pictograph
🌍,pictographic_modern,emoji,earth - modern pictograph
土,pictographic_ancient,radical,earth/soil - ancient pictograph
🔶,pictographic_modern,emoji,diamond shape - modern pictograph
玉,pictographic_ancient,radical,jade/gem - ancient pictograph
🐉,pictographic_modern,emoji,dragon - modern pictograph
龙,pictographic_ancient,radical,dragon - ancient pictograph
🐑,pictographic_modern,emoji,sheep - modern pictograph
羊,pictographic_ancient,radical,sheep - ancient pictograph
🌀,pictographic_modern,emoji,wind spiral - modern pictograph
风,pictographic_ancient,radical,wind - ancient pictograph
👶,pictographic_modern,emoji,child - modern pictograph
子,pictographic_ancient,radical,child/son - ancient pictograph
👩,pictographic_modern,emoji,woman - modern pictograph
女,pictographic_ancient,radical,woman - ancient pictograph
👑,pictographic_modern,emoji,crown - modern pictograph
王,pictographic_ancient,radical,king - ancient pictograph
🏺,pictographic_modern,emoji,amphora - modern pictograph
瓦,pictographic_ancient,radical,tile/pottery - ancient pictograph
🌾,pictographic_modern,emoji,wheat - modern pictograph
麦,pictographic_ancient,radical,wheat - ancient pictograph
🐢,pictographic_modern,emoji,turtle - modern pictograph
龟,pictographic_ancient,radical,turtle - ancient pictograph
🦷,pictographic_modern,emoji,tooth - modern pictograph
齿,pictographic_ancient,radical,tooth - ancient pictograph
👻,pictographic_modern,emoji,ghost - modern pictograph
鬼,pictographic_ancient,radical,ghost/spirit - ancient pictograph
🩸,pictographic_modern,emoji,blood - modern pictograph
血,pictographic_ancient,radical,blood - ancient pictograph
🐛,pictographic_modern,emoji,insect - modern pictograph
虫,pictographic_ancient,radical,insect/worm - ancient pictograph
👕,pictographic_modern,emoji,clothes - modern pictograph
衣,pictographic_ancient,radical,clothes - ancient pictograph
🚶,pictographic_modern,emoji,walking - modern pictograph
行,pictographic_ancient,radical,walk/go - ancient pictograph
🛶,pictographic_modern,emoji,boat - modern pictograph
舟,pictographic_ancient,radical,boat - ancient pictograph
🦴,pictographic_modern,emoji,bone - modern pictograph
骨,pictographic_ancient,radical,bone - ancient pictograph
🌺,pictographic_modern,emoji,flower/color - modern pictograph
色,pictographic_ancient,radical,color - ancient pictograph
🍚,pictographic_modern,emoji,rice - modern pictograph
米,pictographic_ancient,radical,rice - ancient pictograph
🧵,pictographic_modern,emoji,thread - modern pictograph
糸,pictographic_ancient,radical,silk/thread - ancient pictograph
🏺,pictographic_modern,emoji,jar - modern pictograph
缶,pictographic_ancient,radical,jar/pottery - ancient pictograph
🕸️,pictographic_modern,emoji,web - modern pictograph
网,pictographic_ancient,radical,net/network - ancient pictograph
🪶,pictographic_modern,emoji,feather - modern pictograph
羽,pictographic_ancient,radical,feather/wing - ancient pictograph
👅,pictographic_modern,emoji,tongue - modern pictograph
舌,pictographic_ancient,radical,tongue - ancient pictograph
🎋,pictographic_modern,emoji,bamboo - modern pictograph
竹,pictographic_ancient,radical,bamboo - ancient pictograph
