relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-144,sequential,May,June,五月,六月,mayo,junio,Mai,Juni,mayıs,haziran,month_sequence,pending,
NeurIPS-RA-145,sequential,June,July,六月,七月,junio,julio,Juni,Juli,haziran,temmuz,month_sequence,pending,
NeurIPS-RA-146,sequential,July,August,七月,八月,julio,agosto,Juli,August,temmuz,ağustos,month_sequence,pending,
NeurIPS-RA-147,sequential,August,September,八月,九月,agosto,septiembre,August,September,ağustos,eylül,month_sequence,pending,
NeurIPS-RA-148,sequential,September,October,九月,十月,septiembre,octubre,September,Oktober,eylül,ekim,month_sequence,pending,
NeurIPS-RA-149,sequential,October,November,十月,十一月,octubre,noviembre,Oktober,November,ekim,kasım,month_sequence,pending,
NeurIPS-RA-150,sequential,November,December,十一月,十二月,noviembre,diciembre,November,Dezember,kasım,aralık,month_sequence,pending,
NeurIPS-RA-151,sequential,autumn,winter,秋天,冬天,otoño,invierno,Herbst,Winter,sonbahar,kış,season_sequence,pending,
NeurIPS-RA-152,sequential,winter,spring,冬天,春天,invierno,primavera,Winter,Frühling,kış,ilkbahar,season_sequence,pending,
NeurIPS-RA-153,sequential,million,billion,百万,十亿,millón,mil millones,Million,Milliarde,milyon,milyar,magnitude_increase,pending,
NeurIPS-RA-154,sequential,past,present,过去,现在,pasado,presente,Vergangenheit,Gegenwart,geçmiş,şimdi,temporal_sequence,pending,
NeurIPS-RA-155,sequential,present,future,现在,未来,presente,futuro,Gegenwart,Zukunft,şimdi,gelecek,temporal_sequence,pending,
