chinese,english,deepl
古,ancient|old,
句,sentence|phrase,
只,only|just,
可,can|may,
宁,rather|peaceful,
旦,dawn|morning,
正,correct|straight,
申,report|extend,
头,head|top,
市,market|city,
布,cloth|spread,
平,flat|peaceful,
未,not yet,
末,end|tip,
本,root|origin,
半,half,
台,platform|stage,
必,must|necessary,
电,electricity|lightning,
术,art|method,
兰,orchid|elegant,
击,strike|attack,
失,lose|miss,
尼,nun|near,
𤴔,ancient variant,
卡,card|stuck,
另,other|separate,
斥,scold|repel,
由,reason|from,
米,rice|grain,
糸,silk|thread,
缶,can|jar,
羊,sheep|goat,
⺶,sheep variant,
⺷,sheep variant,
老,old|elderly,
耳,ear|hear,
臣,minister|subject,
自,self|from,
舌,tongue|language,
舟,boat|ship,
血,blood,
行,walk|travel,
衣,clothing|cover,
页,page|leaf,
聿,writing brush,
虍,tiger stripes,
网,net|network,
羽,feather|wing,
而,and|but,
至,reach|arrive,
西,west,
齐,neat|even,
竹,bamboo,
⺮,bamboo variant,
艮,mountain|stop,
肉,meat|flesh,
耒,plow|farming,
臼,mortar|pestle,
色,color|appearance,
虫,insect|worm,
覀,west variant,
尧,high|eminent,
屰,disobey|reverse,
各,each|every,
合,combine|together,
吉,lucky|good,
向,toward|direction,
吕,spine|backbone,
曲,curve|song,
交,cross|exchange,
共,together|common,
寺,temple|monastery,
并,and|together,
庄,village|solemn,
囟,fontanel|skull,
式,style|ceremony,
豕,pig|boar,
酉,rooster|wine,
谷,valley|grain,
豆,bean|vessel,
足,foot|enough,
邑,city|settlement,
麦,wheat|barley,
豸,beast|badger,
角,horn|corner,
言,words|speech,
赤,red|bare,
辛,bitter|hard,
辰,morning|time,
釆,distinguish|separate,
龟,turtle|tortoise,
走,walk|run,
身,body|self,
卤,salt|crude,
里,inside|village,
舛,contrary|opposite,
甫,nursery|cultivate,
良,good|fine,
员,member|round,
佥,all|together,
夆,abundance,
孚,trust|belief,
㐬,flow|stream,
呙,spiral|nested,
肙,ancient form,
㕻,ancient variant,
坙,ancient form,
奂,brilliant|changing,
雨,rain|water,
鱼,fish|swim,
隹,bird|short tail,
黾,frog|toad,
齿,tooth|dental,
金,metal|gold,
青,blue|green,
非,not|wrong,
阜,mound|hill,
隶,servant|slave,
幷,combine|join,
易,easy|change,
東,east,
责,duty|blame,
奉,offer|serve,
尚,still|esteem,
龺,ancient form,
其,his|that,
食,food|eat,
鬼,ghost|spirit,
面,face|surface,
首,head|chief,
香,fragrant|incense,
革,leather|reform,
韭,leek|chive,
音,sound|music,
骨,bone|skeleton,
咸,salty|all,
畏,fear|awe,
畐,full|abundant,
柬,select|choose,
禺,corner|join,
高,high|tall,
鬥,fight|struggle,
鹿,deer|elk,
麻,hemp|flax,
黑,black|dark,
黍,millet|grain,
黄,yellow|emperor,
鼓,drum|encourage,
鼻,nose|nasal,
巠,fiber|radial,
