chinese,english,human
水,water|flow,
火,fire|flame,
父,father,
牛,cow|bull,
牜,cow radical,
犬,dog|hunt,
王,king|emperor|jade radical,
贝,shell|treasure,
车,vehicle|wheel,
风,wind|style,
毋,do not,
戶,door,
灬,fire radical,
方,square|direction,
曰,say|speak,
止,stop|foot,
歹,bad|evil,
氏,clan|surname,
片,slice|piece,
爿,half tree,
见,see|meet,
长,long|grow,
韦,leather|loom woof,
殳,weapon|strike,
礻,spirit radical|show,
心,heart|mind|brain,
手,hand|grasp|handle,
无,without|not have|nothing,
毛,hair|fur,
爪,claw|talon,
爫,claw radical,
牙,tooth|fang,
瓦,tile|pottery,
支,support|branch,
欠,owe|lack,
禸,track|trace|trample,
⺩,jade radical,
攵,strike|tap radical,
攴,strike radical,
罓,net radical|network,
耂,old|senior|elderly radical,
不,not|no|negation,
丑,ugly|second,
中,middle|center|obtain,
丰,abundant|plentiful,
云,cloud|say,
井,well|pit,
公,public|fair,
内,inside|within,
分,divide|part,
友,friend|friendship,
天,sky|heaven,
夫,husband|man,
少,few|little,
旡,choke|obstruct,
专,special|focus,
为,do|become|intend,
五,five|fifth,
今,now|today,
介,introduce|between|interfere,
仓,warehouse|granary|barn,
以,use|by|via,
元,origin|first,
六,six|sixth,
勿,do not|must not,
区,area|region|district|distinct,
午,noon,
屯,station|gather,
巴,desire|hope,
太,too|very|extreme,
尺,ruler|foot,
乌,crow|black,
亢,resist|raised,
冈,ridge|hill,
匀,even|uniform,
匹,match|horse,
升,rise|liter,
尤,especially|blame,
巨,huge|giant,
凶,fierce|evil,
办,do|handle|office,
开,open|start,
#朩,tree variant,
⺧,cow radical,
勾,hook|seduce,
母,mother,
生,birth|life|produce|grow|living,
田,field|farm,
皿,dish|plate,
目,eye|see,
矢,arrow|oath,
石,stone|rock,
示,show|reveal,
禾,grain|crop,
鸟,bird|fly,
衤,clothing radical,
玉,jade|precious,
甘,sweet|willing,
用,use|employ|utilize,
白,white|clear|vain|plain|bright|blank,
立,stand|establish|setup,
龙,dragon|imperial,
钅,metal radical,
瓜,melon|gourd,
矛,spear|lance,
玄,dark|mysterious,
皮,skin|leather,
穴,cave|hole|cavity,
氺,water radical,
疋,foot radical|bolt,
疒,sickness radical,
癶,footstep radical,
罒,net radical|eye radical,
乍,work,
丙,third|emerging|growing out,
乐,music|joy|enjoy,
兄,elder brother,
四,four|fourth,
央,center|middle,
它,it|other|snake,
甲,armor|shell|first,
刍,grass|fodder,
戋,small|narrow,
且,altar|and|moreover|succession,
丘,hill|mound,
业,business|karma,
东,east,
乎,question particle,
令,order|command,
冬,winter,
出,exit|produce,
包,wrap|package,
北,north,
占,occupy|divine,
去,go|leave,
古,ancient|old,
句,sentence|phrase,
只,only|just|piece,
可,can|may|capable,
宁,rather|peaceful,
旦,dawn|morning,
正,correct|straight,
申,report|extend,
头,head|top|chief,
市,market|city,
布,cloth|spread,
平,flat|peaceful,
未,not yet,
末,end|tip,
本,root|origin|stem,
半,half,
台,platform|stage|table,
必,must|necessary,
电,electric|electricity|lightning,
术,art|method,
兰,orchid|elegant,
击,strike|attack,
失,lose|miss,
尼,nun|near|intimate,
𤴔,leg radical|revolve,
卡,card|stuck,
另,other|separate,
斥,scold|repel,
由,reason|from,
米,rice|grain,
糸,silk|thread,
缶,can|jar,
羊,sheep|goat,
⺶,sheep radical,
⺷,sheep radical,
老,old|elderly|senior,
耳,ear|hear,
臣,minister|subject,
自,self|from,
舌,tongue|language,
舟,boat|ship,
血,blood|lineage,
行,walk|travel|bank,
衣,clothing|cover|cloth,
页,page|leaf,
聿,writing brush|brush radical,
虍,tiger radical|tiger stripes,
网,net|network,
羽,feather|wing,
而,and|but,
至,reach|arrive,
西,west,
齐,neat|even,
竹,bamboo,
⺮,bamboo radical,
艮,eyesight|visibility,
肉,meat|flesh,
耒,plow|farming,
臼,mortar|pestle,
色,color|appearance,
虫,insect|worm,
覀,west radical,
尧,high|eminent|rising,
屰,disobey|reverse,
各,each|every,
合,combine|together|merge,
吉,lucky|good,
向,toward|direction,
吕,spine|backbone,
曲,curve|song|music,
交,cross|exchange|intercourse,
共,together|common,
寺,temple|monastery,
并,and|together,
庄,village|solemn,
囟,fontanel|skull,
式,style|ceremony,
豕,pig|boar,
酉,jug|wine|winery,
谷,valley|grain,
豆,bean,
足,foot|enough,
邑,city|settlement,
麦,wheat|barley,
豸,beast radical|badger,
角,horn|corner,
言,word|speech,
赤,red|bare,
辛,bitter|hard,
辰,morning|plow,
釆,distinguish|separate|collect,
龟,turtle|tortoise,
走,walk|run,
身,body|self,
卤,salt|crude,
里,inside|inner|neighborhood,
舛,contrary|opposite,
甫,nursery|cultivate,
良,good|fine,
员,member,
佥,all together|inspect,
夆,abundance,
孚,trust|belief,
㐬,flow|stream,
呙,spiral|nested,
#肙,ancient form,
#㕻,ancient variant,
坙,stem|core structure,
巠,fiber|radial|core structure,
奂,brilliant|changing,
雨,rain|water,
鱼,fish|swim,
隹,bird|short tail,
黾,frog|toad,
齿,tooth|dental,
金,metal|gold,
青,blue|green,
非,not|wrong,
阜,mound|hill,
隶,servant|slave,
幷,combine|join,
易,easy|change,
東,east,
责,duty|blame,
奉,offer|serve,
尚,still|esteem,
#龺,ancient form,
其,his|that,
食,food|eat,
鬼,ghost|spirit,
面,face|surface|side,
首,head|chief|first,
香,fragrant|incense,
革,leather|reform,
韭,leek|chive,
音,sound|music,
骨,bone|skeleton,
咸,salty|all,
畏,fear|awe,
畐,full|abundant,
柬,select|choose,
禺,corner|join|joint,
高,high|tall,
鬥,fight|struggle,
鹿,deer|elk,
麻,hemp|flax,
黑,black|dark,
黍,millet|grain,
黄,yellow|emperor,
鼓,drum|encourage,
鼻,nose|nasal,
