word,domain,type,notes
excited,emotions,content,
surprised,emotions,content,
worried,emotions,content,
proud,emotions,content,
ashamed,emotions,content,
time,time_temporal,content,new
year,time_temporal,content,
month,time_temporal,content,
day,time_temporal,content,
hour,time_temporal,content,
minute,time_temporal,content,
second,time_temporal,content,
morning,time_temporal,content,
afternoon,time_temporal,content,
evening,time_temporal,content,
night,time_temporal,content,
today,time_temporal,content,
yesterday,time_temporal,content,
tomorrow,time_temporal,content,
season,time_temporal,content,new
spring,time_temporal,content,
fall,time_temporal,content,new
autumn,time_temporal,content,new
summer,time_temporal,content,
winter,time_temporal,content,
metal,nature_elements,content,
wood,nature_elements,content,
water,nature_elements,content,
fire,nature_elements,content,
earth,nature_elements,content,
air,nature_elements,content,
wind,nature_elements,content,
rain,nature_elements,content,
snow,nature_elements,content,
sun,nature_elements,content,
moon,nature_elements,content,
star,nature_elements,content,
mountain,nature_elements,content,
river,nature_elements,content,
ocean,nature_elements,content,
cloud,nature_elements,content,
forest,nature_elements,content,
bread,food,content,
rice,food,content,
meat,food,content,
egg,food,content,
milk,food,content,
tea,food,content,
coffee,food,content,
sugar,food,content,
salt,food,content,
fruit,food,content,
vegetable,food,content,
cheese,food,content,
butter,food,content,
apple,food,content,
walk,actions_verbs,content,
run,actions_verbs,content,
jump,actions_verbs,content,
sit,actions_verbs,content,
stand,actions_verbs,content,
sleep,actions_verbs,content,
eat,actions_verbs,content,
drink,actions_verbs,content,
read,actions_verbs,content,
write,actions_verbs,content,
speak,actions_verbs,content,
listen,actions_verbs,content,
think,actions_verbs,content,
learn,actions_verbs,content,
teach,actions_verbs,content,
up,spatial_directional,abstract,
down,spatial_directional,abstract,
left,spatial_directional,abstract,
right,spatial_directional,abstract,
front,spatial_directional,abstract,
back,spatial_directional,abstract,
inside,spatial_directional,abstract,
outside,spatial_directional,abstract,
above,spatial_directional,abstract,
below,spatial_directional,abstract,
near,spatial_directional,abstract,
far,spatial_directional,abstract,
north,spatial_directional,abstract,
south,spatial_directional,abstract,
east,spatial_directional,abstract,
good,abstract_qualities,abstract,
bad,abstract_qualities,abstract,
big,abstract_qualities,abstract,
small,abstract_qualities,abstract,
hot,abstract_qualities,abstract,
cold,abstract_qualities,abstract,
fast,abstract_qualities,abstract,
slow,abstract_qualities,abstract,
new,abstract_qualities,abstract,
old,abstract_qualities,abstract,
strong,abstract_qualities,abstract,
weak,abstract_qualities,abstract,
beautiful,abstract_qualities,abstract,
ugly,abstract_qualities,abstract,new
true,abstract_qualities,abstract,
false,abstract_qualities,abstract,new
work,morphological_work,morphological,root
worker,morphological_work,morphological,derived
working,morphological_work,morphological,derived
worked,morphological_work,morphological,derived
workplace,morphological_work,morphological,derived
workday,morphological_work,morphological,derived
homework,morphological_work,morphological,derived
framework,morphological_work,morphological,derived
network,morphological_work,morphological,derived
artwork,morphological_work,morphological,derived
teamwork,morphological_work,morphological,derived
metalwork,morphological_work,morphological,derived
light,morphological_light,morphological,root
lighter,morphological_light,morphological,derived
lighten,morphological_light,morphological,derived
daylight,morphological_light,morphological,derived
sunlight,morphological_light,morphological,derived
moonlight,morphological_light,morphological,derived
starlight,morphological_light,morphological,derived
lightning,morphological_light,morphological,derived
highlight,morphological_light,morphological,derived
flashlight,morphological_light,morphological,derived
book,morphological_book,morphological,root
bookstore,morphological_book,morphological,derived
bookmark,morphological_book,morphological,derived
bookshelf,morphological_book,morphological,derived
textbook,morphological_book,morphological,derived
notebook,morphological_book,morphological,derived
handbook,morphological_book,morphological,derived
bookcase,morphological_book,morphological,derived
# Buddha,morphological_light,morphological,root
