word,domain,type,note,english_original
巾,elemental_chars,character,towel - cloth,
干,elemental_chars,character,dry - stem,
幺,elemental_chars,character,tiny - small,
广,elemental_chars,character,broad - wide,
弋,elemental_chars,character,shoot - hunt,
弓,elemental_chars,character,bow - arch,
么,elemental_chars,character,what - tiny,
毛,elemental_chars,character,hair - fur,
氏,elemental_chars,character,clan - family,
气,elemental_chars,character,air - gas,
水,elemental_chars,character,water - liquid,
火,elemental_chars,character,fire - flame,
爪,elemental_chars,character,claw - nail,
父,elemental_chars,character,father - dad,
片,elemental_chars,character,slice - piece,
牙,elemental_chars,character,tooth - fang,
牛,elemental_chars,character,cow - ox,
犬,elemental_chars,character,dog - canine,
王,elemental_chars,character,king - ruler,
瓦,elemental_chars,character,tile - pottery,
月,elemental_chars,character,moon - month,
见,elemental_chars,character,see - view,
贝,elemental_chars,character,shell - treasure,
车,elemental_chars,character,vehicle - cart,
长,elemental_chars,character,long - grow,
韦,elemental_chars,character,leather - tanned hide,
风,elemental_chars,character,wind - breeze,
斥,elemental_chars,character,scold - reject,
云,elemental_chars,character,cloud - sky,
天,elemental_chars,character,heaven - sky,
冈,elemental_chars,character,ridge - hill,
井,elemental_chars,character,well - pit,
丰,elemental_chars,character,abundant - rich,
夫,elemental_chars,character,husband - man,
仓,elemental_chars,character,warehouse - granary,
勾,elemental_chars,character,hook - catch,
公,elemental_chars,character,public - male,
区,elemental_chars,character,district - area,
友,elemental_chars,character,friend - companion,
匀,elemental_chars,character,even - uniform,
元,elemental_chars,character,origin - first,
六,elemental_chars,character,six - number,
五,elemental_chars,character,five - number,
今,elemental_chars,character,now - today,
中,elemental_chars,character,middle - center,
内,elemental_chars,character,inside - within,
午,elemental_chars,character,noon - horse hour,
分,elemental_chars,character,divide - minute,
丑,elemental_chars,character,ugly - ox hour,
少,elemental_chars,character,few - young,
不,elemental_chars,character,not - no,
巨,elemental_chars,character,huge - giant,
勿,elemental_chars,character,do not - must not,
凶,elemental_chars,character,fierce - bad luck,
升,elemental_chars,character,rise - liter,
太,elemental_chars,character,too - very,
为,elemental_chars,character,act - be,
尺,elemental_chars,character,ruler - foot,
匹,elemental_chars,character,bolt - horse,
乌,elemental_chars,character,crow - black,
介,elemental_chars,character,between - shell,
屯,elemental_chars,character,station - village,
巴,elemental_chars,character,cling - hope,
尤,elemental_chars,character,especially - fault,
专,elemental_chars,character,special - expert,
以,elemental_chars,character,use - by means of,
开,elemental_chars,character,open - start,
办,elemental_chars,character,handle - do,
毋,elemental_chars,character,do not - mother,
心,elemental_chars,character,heart - mind,
戈,elemental_chars,character,spear - weapon,
户,elemental_chars,character,door - household,
戶,elemental_chars,character,household - door,
手,elemental_chars,character,hand - manual,
支,elemental_chars,character,branch - support,
文,elemental_chars,character,culture - writing,
斗,elemental_chars,character,fight - dipper,
斤,elemental_chars,character,axe - catty,
方,elemental_chars,character,square - direction,
无,elemental_chars,character,nothing - without,
日,elemental_chars,character,sun - day,
木,elemental_chars,character,wood - tree,
欠,elemental_chars,character,owe - lack,
止,elemental_chars,character,stop - foot,
歹,elemental_chars,character,bad - evil,
比,elemental_chars,character,compare - ratio,
玄,elemental_chars,character,dark - mysterious,
玉,elemental_chars,character,jade - gem,
瓜,elemental_chars,character,melon - gourd,
甘,elemental_chars,character,sweet - willing,
生,elemental_chars,character,life - birth,
用,elemental_chars,character,use - employ,
田,elemental_chars,character,field - farm,
白,elemental_chars,character,white - bright,
皮,elemental_chars,character,skin - leather,
皿,elemental_chars,character,dish - vessel,
目,elemental_chars,character,eye - look,
矛,elemental_chars,character,spear - lance,
矢,elemental_chars,character,arrow - dart,
石,elemental_chars,character,stone - rock,
示,elemental_chars,character,show - reveal,
禾,elemental_chars,character,grain - cereal,
穴,elemental_chars,character,hole - cave,
立,elemental_chars,character,stand - establish,
鸟,elemental_chars,character,bird - avian,
龙,elemental_chars,character,dragon - emperor,
且,elemental_chars,character,moreover - and,
旦,elemental_chars,character,dawn - morning,
电,elemental_chars,character,electricity - lightning,
本,elemental_chars,character,root - origin,
兄,elemental_chars,character,elder brother - senior,
头,elemental_chars,character,head - top,
布,elemental_chars,character,cloth - spread,
乐,elemental_chars,character,music - joy,
令,elemental_chars,character,order - command,
台,elemental_chars,character,platform - stage,
包,elemental_chars,character,wrap - bag,
术,elemental_chars,character,art - technique,
业,elemental_chars,character,industry - karma,
市,elemental_chars,character,market - city,
击,elemental_chars,character,strike - hit,
四,elemental_chars,character,four - number,
古,elemental_chars,character,ancient - old,
央,elemental_chars,character,center - middle,
北,elemental_chars,character,north - northern,
东,elemental_chars,character,east - eastern,
冬,elemental_chars,character,winter - cold,
由,elemental_chars,character,from - reason,
出,elemental_chars,character,exit - out,
失,elemental_chars,character,lose - mistake,
申,elemental_chars,character,extend - state,
正,elemental_chars,character,correct - right,
半,elemental_chars,character,half - semi,
宁,elemental_chars,character,rather - peaceful,
平,elemental_chars,character,flat - peace,
未,elemental_chars,character,not yet - eighth,
末,elemental_chars,character,end - tip,
只,elemental_chars,character,only - single,
丘,elemental_chars,character,hill - mound,
占,elemental_chars,character,occupy - divine,
句,elemental_chars,character,sentence - phrase,
必,elemental_chars,character,must - certainly,
可,elemental_chars,character,can - may,
去,elemental_chars,character,go - depart,
乍,elemental_chars,character,suddenly - first time,
并,elemental_chars,character,combine - and,
它,elemental_chars,character,it - other,
甲,elemental_chars,character,armor - first,
丙,elemental_chars,character,third - fire,
尼,elemental_chars,character,nun - near,
乎,elemental_chars,character,in - question particle,
兰,elemental_chars,character,orchid - elegant,
卡,elemental_chars,character,card - stuck,
另,elemental_chars,character,other - separate,
母,elemental_chars,character,mother - female,
竹,elemental_chars,character,bamboo - hollow,
米,elemental_chars,character,rice - grain,
糸,elemental_chars,character,silk - thread,
缶,elemental_chars,character,jar - pottery,
网,elemental_chars,character,net - network,
羊,elemental_chars,character,sheep - goat,
羽,elemental_chars,character,feather - wing,
而,elemental_chars,character,and - while,
耳,elemental_chars,character,ear - hearing,
肉,elemental_chars,character,meat - flesh,
臣,elemental_chars,character,minister - subject,
自,elemental_chars,character,self - from,
至,elemental_chars,character,reach - arrive,
舌,elemental_chars,character,tongue - language,
舟,elemental_chars,character,boat - vessel,
艮,elemental_chars,character,stubborn - northeast,
色,elemental_chars,character,color - appearance,
虫,elemental_chars,character,insect - worm,
血,elemental_chars,character,blood - bleeding,
行,elemental_chars,character,walk -行,
衣,elemental_chars,character,clothes - garment,
西,elemental_chars,character,west - western,
页,elemental_chars,character,page - leaf,
齐,elemental_chars,character,neat - even,
共,elemental_chars,character,together - common,
曲,elemental_chars,character,song - curve,
庄,elemental_chars,character,village - solemn,
向,elemental_chars,character,towards - direction,
交,elemental_chars,character,exchange - cross,
吉,elemental_chars,character,lucky - auspicious,
各,elemental_chars,character,each - every,
合,elemental_chars,character,combine - together,
尧,elemental_chars,character,Yao - high,
吕,elemental_chars,character,Lu - backbone,
式,elemental_chars,character,style - formula,
寺,elemental_chars,character,temple - monastery,
角,elemental_chars,character,horn - corner,
言,elemental_chars,character,speech - word,
谷,elemental_chars,character,valley - grain,
豆,elemental_chars,character,bean - vessel,
赤,elemental_chars,character,red - bare,
走,elemental_chars,character,walk - run,
足,elemental_chars,character,foot - sufficient,
身,elemental_chars,character,body - oneself,
辛,elemental_chars,character,bitter - hard,
辰,elemental_chars,character,morning - dragon hour,
邑,elemental_chars,character,city - settlement,
酉,elemental_chars,character,wine - rooster hour,
釆,elemental_chars,character,distinguish - separate,
里,elemental_chars,character,inside - mile,
卤,elemental_chars,character,salt - brine,
麦,elemental_chars,character,wheat - barley,
龟,elemental_chars,character,turtle - tortoise,
员,elemental_chars,character,member - staff,
良,elemental_chars,character,good - favorable,
甫,elemental_chars,character,just - begin,
東,elemental_chars,character,east - traditional,
金,elemental_chars,character,metal - gold,
阜,elemental_chars,character,mound - abundant,
隶,elemental_chars,character,servant - clerical,
雨,elemental_chars,character,rain - precipitation,
青,elemental_chars,character,blue - green,
非,elemental_chars,character,not - wrong,
鱼,elemental_chars,character,fish - aquatic,
齿,elemental_chars,character,tooth - dental,
易,elemental_chars,character,easy - change,
其,elemental_chars,character,its - that,
尚,elemental_chars,character,still - esteem,
奉,elemental_chars,character,offer - serve,
责,elemental_chars,character,duty - blame,
面,elemental_chars,character,face - surface,
革,elemental_chars,character,leather - revolution,
韭,elemental_chars,character,leek - chive,
音,elemental_chars,character,sound - music,
食,elemental_chars,character,food - eat,
首,elemental_chars,character,head - first,
香,elemental_chars,character,fragrant - incense,
骨,elemental_chars,character,bone - skeleton,
鬼,elemental_chars,character,ghost - spirit,
咸,elemental_chars,character,salty - all,
柬,elemental_chars,character,Cambodia - select,
畏,elemental_chars,character,fear - awe,
# word,domain,type,notes,english_original
这,articles_determiners,function,demonstrative,the
这个,articles_determiners,function,demonstrative,this
那个,articles_determiners,function,demonstrative,that
每个,articles_determiners,function,quantifier,each
一,articles_determiners,function,indefinite,an
一个,articles_determiners,function,indefinite,a
一些,articles_determiners,function,quantifier,some
任何,articles_determiners,function,quantifier,any
的,prepositions,function,,of
在,prepositions,function,location,in
为了,prepositions,function,,for
与,prepositions,function,,with
被,prepositions,function,passive,by
从,prepositions,function,,from
关于,prepositions,function,,about
通过,prepositions,function,,through
在...上,prepositions,function,,on
在...处,prepositions,function,,at
在...期间,prepositions,function,,during
在...之前,prepositions,function,,before
在...之后,prepositions,function,,after
在...之下,prepositions,function,,under
在...之上,prepositions,function,,over
在...之间,prepositions,function,,between
在...当中,prepositions,function,,among
进入,prepositions,function,,into
到...上,prepositions,function,,onto
没有,prepositions,function,,without
和,conjunctions,function,,and
但是,conjunctions,function,,but
或者,conjunctions,function,,or
也不,conjunctions,function,,nor
然而,conjunctions,function,,yet
所以,conjunctions,function,,so
如果,conjunctions,function,,if
当,conjunctions,function,,when
而,conjunctions,function,,while
因为,conjunctions,function,,because
虽然,conjunctions,function,,although
除非,conjunctions,function,,unless
我,pronouns,function,,I
你,pronouns,function,,you
他,pronouns,function,,he
她,pronouns,function,,she
它,pronouns,function,,it
我们,pronouns,function,,we
他们,pronouns,function,,they
谁,pronouns,function,,who
什么,pronouns,function,,what
哪个,pronouns,function,,which
零,numbers,abstract,mathematical_alphabet,zero
一,numbers,abstract,mathematical_alphabet,one
二,numbers,abstract,mathematical_alphabet,two
三,numbers,abstract,mathematical_alphabet,three
四,numbers,abstract,mathematical_alphabet,four
五,numbers,abstract,mathematical_alphabet,five
六,numbers,abstract,mathematical_alphabet,six
七,numbers,abstract,mathematical_alphabet,seven
八,numbers,abstract,mathematical_alphabet,eight
九,numbers,abstract,mathematical_alphabet,nine
十,numbers,abstract,mathematical_alphabet,ten
十一,numbers,abstract,mathematical_alphabet,eleven
十五,numbers,abstract,mathematical_alphabet,fifteen
十二,numbers,abstract,mathematical_alphabet,twelve
二十,numbers,abstract,mathematical_alphabet,twenty
五十,numbers,abstract,mathematical_alphabet,fifty
百,numbers,abstract,mathematical_alphabet,hundred
千,numbers,abstract,mathematical_alphabet,thousand
万,numbers,abstract,mathematical_alphabet,ten thousand
红色,colors,abstract,perceptual_spectrum,red
橙色,colors,abstract,perceptual_spectrum,orange
黄色,colors,abstract,perceptual_spectrum,yellow
绿色,colors,abstract,perceptual_spectrum,green
蓝色,colors,abstract,perceptual_spectrum,blue
紫色,colors,abstract,perceptual_spectrum,purple
粉色,colors,abstract,perceptual_spectrum,pink
棕色,colors,abstract,perceptual_spectrum,brown
黑色,colors,abstract,perceptual_spectrum,black
白色,colors,abstract,perceptual_spectrum,white
灰色,colors,abstract,perceptual_spectrum,gray
金色,colors,abstract,perceptual_spectrum,gold
银色,colors,abstract,perceptual_spectrum,silver
紫罗兰色,colors,abstract,perceptual_spectrum,violet
父亲,family_kinship,content,,father
母亲,family_kinship,content,,mother
儿子,family_kinship,content,,son
女儿,family_kinship,content,,daughter
兄弟,family_kinship,content,,brother
姐妹,family_kinship,content,,sister
父母,family_kinship,content,,parent
孩子,family_kinship,content,,child
叔叔,family_kinship,content,paternal,uncle
姑姑,family_kinship,content,paternal,aunt
表兄弟,family_kinship,content,,cousin
祖父,family_kinship,content,,grandfather
祖母,family_kinship,content,,grandmother
丈夫,family_kinship,content,,husband
妻子,family_kinship,content,,wife
侄子,family_kinship,content,,nephew
狗,animals,content,,dog
猫,animals,content,,cat
鸟,animals,content,,bird
鱼,animals,content,,fish
马,animals,content,,horse
牛,animals,content,,cow
羊,animals,content,,sheep
猪,animals,content,,pig
鸡,animals,content,,chicken
鸭,animals,content,,duck
兔子,animals,content,,rabbit
老鼠,animals,content,,mouse
老虎,animals,content,,tiger
狮子,animals,content,,lion
大象,animals,content,,elephant
头,body_parts,content,,head
眼睛,body_parts,content,,eye
鼻子,body_parts,content,,nose
嘴,body_parts,content,,mouth
耳朵,body_parts,content,,ear
手,body_parts,content,,hand
脚,body_parts,content,,foot
腿,body_parts,content,,leg
手臂,body_parts,content,,arm
心脏,body_parts,content,,heart
肺,body_parts,content,,lung
胃,body_parts,content,,stomach
大脑,body_parts,content,,brain
骨头,body_parts,content,,bone
手指,body_parts,content,,finger
快乐,emotions,content,,happy
悲伤,emotions,content,,sad
生气,emotions,content,,angry
恐惧,emotions,content,,fear
爱,emotions,content,,love
恨,emotions,content,,hate
喜悦,emotions,content,,joy
悲痛,emotions,content,,sorrow
焦虑,emotions,content,,anxious
平静,emotions,content,,calm
兴奋,emotions,content,,excited
惊讶,emotions,content,,surprised
担心,emotions,content,,worried
自豪,emotions,content,,proud
羞愧,emotions,content,,ashamed
年,time_temporal,content,,year
月,time_temporal,content,,month
日,time_temporal,content,,day
小时,time_temporal,content,,hour
分钟,time_temporal,content,,minute
秒,time_temporal,content,,second
早晨,time_temporal,content,,morning
下午,time_temporal,content,,afternoon
傍晚,time_temporal,content,,evening
夜晚,time_temporal,content,,night
今天,time_temporal,content,,today
昨天,time_temporal,content,,yesterday
明天,time_temporal,content,,tomorrow
春天,time_temporal,content,,spring
夏天,time_temporal,content,,summer
# 冬天,time_temporal,content,,winter
水,nature_elements,content,,water
火,nature_elements,content,,fire
土,nature_elements,content,,earth
空气,nature_elements,content,,air
风,nature_elements,content,,wind
雨,nature_elements,content,,rain
雪,nature_elements,content,,snow
太阳,nature_elements,content,,sun
月亮,nature_elements,content,,moon
星星,nature_elements,content,,star
山,nature_elements,content,,mountain
河,nature_elements,content,,river
海洋,nature_elements,content,,ocean
云,nature_elements,content,,cloud
森林,nature_elements,content,,forest
面包,food,content,,bread
米饭,food,content,,rice
肉,food,content,,meat
鱼,food,content,,fish
蛋,food,content,,egg
牛奶,food,content,,milk
茶,food,content,,tea
咖啡,food,content,,coffee
糖,food,content,,sugar
盐,food,content,,salt
水果,food,content,,fruit
蔬菜,food,content,,vegetable
奶酪,food,content,,cheese
黄油,food,content,,butter
苹果,food,content,,apple
走,actions_verbs,content,,walk
跑,actions_verbs,content,,run
跳,actions_verbs,content,,jump
坐,actions_verbs,content,,sit
站,actions_verbs,content,,stand
睡,actions_verbs,content,,sleep
吃,actions_verbs,content,,eat
喝,actions_verbs,content,,drink
读,actions_verbs,content,,read
写,actions_verbs,content,,write
说,actions_verbs,content,,speak
听,actions_verbs,content,,listen
想,actions_verbs,content,,think
学,actions_verbs,content,,learn
教,actions_verbs,content,,teach
上,spatial_directional,abstract,,up
下,spatial_directional,abstract,,down
左,spatial_directional,abstract,,left
右,spatial_directional,abstract,,right
前,spatial_directional,abstract,,front
后,spatial_directional,abstract,,back
里,spatial_directional,abstract,,inside
外,spatial_directional,abstract,,outside
上面,spatial_directional,abstract,,above
下面,spatial_directional,abstract,,below
近,spatial_directional,abstract,,near
远,spatial_directional,abstract,,far
北,spatial_directional,abstract,,north
南,spatial_directional,abstract,,south
东,spatial_directional,abstract,,east
好,abstract_qualities,abstract,,good
坏,abstract_qualities,abstract,,bad
大,abstract_qualities,abstract,,big
小,abstract_qualities,abstract,,small
热,abstract_qualities,abstract,,hot
冷,abstract_qualities,abstract,,cold
快,abstract_qualities,abstract,,fast
慢,abstract_qualities,abstract,,slow
新,abstract_qualities,abstract,,new
旧,abstract_qualities,abstract,,old
强,abstract_qualities,abstract,,strong
弱,abstract_qualities,abstract,,weak
美丽,abstract_qualities,abstract,,beautiful
真实,abstract_qualities,abstract,,true
工作,morphological_work,morphological,root,work
工人,morphological_work,morphological,derived,worker
工作中,morphological_work,morphological,derived,working
工作过,morphological_work,morphological,derived,worked
工作场所,morphological_work,morphological,derived,workplace
单位,morphological_work,morphological,derived,workplace
工作日,morphological_work,morphological,derived,workday
作业,morphological_work,morphological,derived,homework
框架,morphological_work,morphological,derived,framework
网络,morphological_work,morphological,derived,network
艺术品,morphological_work,morphological,derived,artwork
团队合作,morphological_work,morphological,derived,teamwork
金属制品,morphological_work,morphological,derived,metalwork
光,morphological_light,morphological,root,light
打火机,morphological_light,morphological,derived,lighter
变亮,morphological_light,morphological,derived,lighten
日光,morphological_light,morphological,derived,daylight
阳光,morphological_light,morphological,derived,sunlight
月光,morphological_light,morphological,derived,moonlight
星光,morphological_light,morphological,derived,starlight
闪电,morphological_light,morphological,derived,lightning
显示,morphological_light,morphological,derived,highlight
手电筒,morphological_light,morphological,derived,flashlight
书,morphological_book,morphological,root,book
书店,morphological_book,morphological,derived,bookstore
书签,morphological_book,morphological,derived,bookmark
书架,morphological_book,morphological,derived,bookshelf
教科书,morphological_book,morphological,derived,textbook
笔记本,morphological_book,morphological,derived,notebook
手册,morphological_book,morphological,derived,handbook
书柜,morphological_book,morphological,derived,bookcase
